"NO";"NO2"
8.3;19.7
6.9;21.5
19.3;32.2
39.1;37.7
72.4;49.9
96.9;48.8
51.7;41.1
35.2;34.8
37.3;34.7
43.6;30.4
29.1;26.6
48.3;22
46.6;19.2
52.7;21.3
93;24.5
152.6;30.1
162.6;32.6
133.3;44.2
70.5;52.2
30.6;46.5
23.5;48.3
6.4;16
7.8;14.2
5.8;9.8
5.6;8
7.2;14
5.9;16.7
13.5;29.8
24.6;45.1
14.7;43.8
67.8;49.9
42.9;41.8
36.9;40.9
49.1;39.7
14.3;33
24.5;33.5
53.4;33.3
31;29.1
38.1;30.3
65.7;35
121.6;39.3
123.3;40.6
76.1;44.1
27.8;31.4
12.3;21.6
10;23.5
9.1;29.4
9.6;28.1
7.6;23.4
7.5;21.6
6.1;21.2
5.9;22.6
4.3;26.1
7;30.8
10;26.3
13.8;31.6
14.6;34.8
7.6;30.9
0.4;10.9
0.9;9.4
0.8;10.1
1.5;16.8
3.6;21.5
26.6;28.9
23;24.8
42.3;26.8
34;27.8
33.8;30.4
19.2;25.2
11.6;20.5
10.6;19
8.6;17
3.9;11.3
6;14.7
10;20.8
7.6;20.9
18.1;33.5
12.8;29.9
16.3;29.5
21;31.2
21.8;28.5
14.2;27
6.1;22.4
9.1;22.9
1.6;16.2
1.6;11.9
8.6;23.6
32.7;28.9
72.3;33.7
73.8;35.5
74.3;36.2
29.4;24.2
10.4;12.7
13.2;16
11.5;18.7
8.5;26.5
19.3;24.3
12.3;14.3
6.2;15.4
23;33.1
48.6;40.5
46.5;38.9
38.6;33.5
49.2;33.7
43.8;30.5
43.9;30.7
10.3;24.7
1.7;16.5
1.8;17
7.8;22
15.5;23.9
80.2;29.7
52.3;26.7
104.5;29.5
73;38.6
59.4;47.8
29.7;39.1
11.5;31.9
7.5;22.7
3.9;14.2
5.6;15.5
8;19.6
5.2;18.9
29.1;33.5
101.2;49.1
58.6;44.7
29.5;39.3
21.8;26.8
3.9;19.7
2.8;17.1
1.6;11.3
4.3;17.1
2.3;10.4
3.9;15.2
8.8;21.2
25.2;29.1
23.6;28.1
17.3;25.5
54.2;34.9
42.8;33.6
35.3;39.8
10;21.1
4.4;10.8
4.6;9.4
6.7;11.4
6.7;15.1
7.1;15.6
5.6;15.1
6.6;24.8
7.8;25.6
5.8;20.1
5;17.2
5.2;19.2
2.5;12.9
0.7;6.3
0.5;3.2
1.1;5.4
1.6;8.9
3.2;15
39.1;28
93;32.6
78.8;30.7
45.2;23.8
13.2;14.3
10.9;15
8.3;17.8
6.2;16.1
6.9;14.7
7;16.8
5.8;15.6
7.3;17.8
17.5;25
17.9;23.5
25.8;30.8
29.5;29.5
34.2;33.4
21.1;29.2
12.5;26.6
31.1;30.2
51.7;26.7
68;25.7
52.2;22.6
69.6;23.7
110.1;28.4
172.7;38.5
121.1;44.9
38.7;36.8
13.1;23.1
4.3;8.8
4.4;8.2
4.8;11.5
7;18.9
7.4;14.5
5.9;16.8
9.8;24.4
4.5;20.7
9.3;35.1
12.6;34.1
12.9;29.3
12.2;27.3
14.4;30.7
8.2;27.1
3.7;18.2
10;23.5
10.1;24.1
13.7;21.7
21;24.7
25.3;27.6
63.3;31.7
35.4;27.5
13.7;16.6
5.8;10.6
5.1;11.8
4.6;13.6
4.8;13.7
5.5;12.6
4.8;15.9
8;18.9
21.9;35.7
16.8;40.4
59.9;48.2
69.1;37.7
51.4;32.8
55.7;33.2
55.9;33.6
16.9;28.4
25.8;26.7
58.9;28.7
76.8;29.9
6.7;18.7
18.1;28.4
37.6;28.4
77.2;31.8
37.8;26.7
7.6;12.2
2.8;3.8
3.2;4.1
3.4;5.3
3.7;11.2
8;11.8
7.4;10
8.4;8.7
8.5;10.4
5.1;12.2
4.8;17.6
7.1;21.2
6.6;21.2
9.7;20.2
8.9;21.8
6.5;16.7
5;13.5
0.9;4.1
1.5;8.1
7.5;18.4
6.6;18.7
36.9;26.7
34.7;26.8
19.1;20.7
8.2;10
5.9;11.4
7.4;16.3
9.7;12.45
8.1;13.05
