"NO";"NO2"
2.7;5
2.5;3.3
2.2;2.7
2.1;1.9
1.2;2.7
1.8;3.5
1.9;4.3
2.6;4.5
1.6;5.9
2.6;10.3
3.4;13.7
3.8;13.4
3.9;13
2.9;13.2
2.8;11
5.8;15.1
42.5;22
60.6;25.7
52.5;26.2
22.2;18.2
5.1;3.6
5.4;3.7
4;2.8
4.9;3.4
3.3;1.3
3.5;3.6
5;5.6
4.9;5.6
3.5;7
3.4;9.5
3.5;12.5
6.1;12.5
3.9;8.9
2.7;10.2
2.6;13.3
3.2;12
2.5;8.2
1.8;8.9
2.5;13.2
5.65;14.75
21.9;26
28.55;25.75
30.4;18
39.1;21.6
40.9;25.2
17.4;17.5
13;10.9
12.2;11.3
7.3;8.2
4.7;7.3
8.2;11.8
5.2;5.3
7.5;9.1
8.5;15
13.5;17.2
17.3;17.8
12.6;17.3
15.3;17
10.2;15.9
4.2;14.5
3.9;11.9
4.1;12.5
3.1;9.6
10.5;12.8
19.7;13.4
22.9;14
14.3;10.4
24.5;16.9
16;14.4
9.9;12.7
5.5;9.6
3.4;6
5.5;8.2
4.5;6.3
5.3;11.2
7.2;14.5
8;18.8
13.3;23.6
4.3;11.3
2.6;8.4
2.9;9.9
2.8;8.4
8.1;13
2.1;5.4
1.7;1.8
1.4;2
1;2.8
5.5;8.9
7.9;12.9
24.5;18.6
30.1;20.1
26.5;20
13.8;16.3
7.6;8.7
5.9;5.5
6.4;6.6
6.2;5.2
7.5;6
6.9;6.9
8.9;8.4
9.3;9.7
11.6;11.8
13.6;15
7.8;7
5.1;9.1
22.4;18.1
24.1;14.9
22.6;15.1
19.9;15.9
27;15
25;14.2
33.8;15.6
53.2;17.2
99.3;20.8
86.7;31.9
38.1;38.6
11.4;12.8
9.6;10.9
4.6;6.7
2.7;3
3.3;6.4
4.2;9.1
3.2;7.6
2.9;5.5
3.4;10.2
2.6;15.9
2.1;13
2.1;12.9
1.6;15
2.5;18.9
1.8;15.9
1.6;11.8
1.1;8
2.5;9.1
1.2;4.9
2.4;13.3
6.9;19
29.2;23.6
21.7;20.6
8.3;11.6
5.7;9.7
4.2;7.8
2;4.4
2;6.2
2.3;6.9
3.4;6.6
2.8;4.4
2.2;5.7
2.1;8.4
2.4;14.4
2.9;16.9
3.1;14.5
2.5;13.5
2;14.2
1.7;6.8
4;20.3
1.6;8.3
1.8;5.8
1.6;7.5
3;8.8
1.7;6.1
2.8;8.5
7.7;10.7
5.6;8
1.7;1.9
1.4;0.1
1.6;0.2
1.4;0.1
1.7;0.1
1.6;0.4
1.7;0.5
2.3;3.2
1.1;2
1.3;6.6
1.3;7.8
1.2;9.7
2;9.8
1.5;10
1.5;4.7
1.1;1.8
2.8;4.6
1.2;3.4
1.5;2.4
5.4;9.4
22.3;22
38.1;24.4
12.8;12.7
5.3;4.9
5.3;4.7
4.9;4.4
5.4;7.9
4.9;3.4
7.7;4.75
4.6;6.6
4.7;7.4
4.5;6.8
6.6;12.2
12.9;19.5
6.1;16.7
2.4;9.1
3.2;12.2
1.7;5.4
2.9;9
1.9;10
1.4;3.3
1.7;7.4
3.3;14.2
5.3;16.3
28.4;29.9
26.6;27.5
29;28.3
10.9;13.4
5.7;6.6
5.9;5.1
4.9;4.4
5.2;4.3
4.7;4.1
5.2;4.6
6.3;6.2
6.3;7
6.4;11
7.2;16
4.7;14.6
3.6;12.6
3.8;14.1
2.7;9.6
2.3;10.6
2.9;14.2
2;12.3
2.8;14.6
5.5;11.7
11.1;13.1
74.1;23.1
86.9;26.3
68.1;29.6
40.6;30.3
43.9;40.7
11.7;18.2
8.3;11.8
5.6;8
9.7;17.7
6.6;17.8
4.5;17.2
7;21.4
6.5;23.6
8.1;24.2
12.2;28.4
35.9;31.3
36.1;31.5
40;29.7
21.1;28.6
30.5;28.1
29.9;26.4
26.5;22.9
33.8;20.9
40.2;23.7
83.7;26.2
113.9;29.8
78.4;31.6
41;29.9
15.9;22.6
10;14.2
7.2;9
6.8;6.8
5;7.1
5.2;10.2
6.8;18.9
6.8;21.1
7;20.3
6.7;17
3.3;19.3
12.9;26.2
5.6;19.7
13.6;25.9
2.1;10.4
3.5;12.6
2;14
1.5;5.6
0.8;1.3
1.1;2.8
4.6;11.4
7.2;13.8
6.7;13.2
10.3;15.2
15.5;14.6
13.9;12.6
9.4;12.3
4.3;5.8
3.7;2.2
3.3;2.3
3.3;2.1
3;1.6
2.7;3.1
5.4;8.2
4.6;12.7
4;11.7
9.5;17.2
23;20.5
19;17.4
7.5;13.1
4.8;7.4
4.7;8.8
4;6.7
6.3;8.8
21.3;13.4
24.9;13.1
37.3;16.4
27.1;13.6
15.6;14.5
13.6;16.8
9.9;13.8
11.3;12.3
11.4;13.7
7.9;13.3
6.1;6.8
3.6;3.8
3.5;7.4
5.1;11.5
13.2;23.8
18.7;21.9
32.1;23.1
6.8;13.1
19.7;20.9
6.4;14.5
21.5;19.3
3.9;8.1
0.9;2.4
1.7;8.5
1.7;7.8
13;14.3
11.8;15.1
10.2;14.7
7.1;9.8
5.2;5.6
5.7;5.3
3.4;1.4
5.1;3.6
3.8;4
3.1;3.1
1.5;1.8
1.8;1.8
1.8;3.7
3.3;7.5
8;17
12.3;16.5
22.4;16.9
5.2;10.6
6.6;13.8
13.5;13.4
4.9;8.3
3.2;8.1
10;10
32.3;14.9
48.4;17.6
30.6;16.1
19.1;15.1
14.2;12
9.3;8.9
5.4;7.9
4.9;3.4
12.1;8.2
12.8;9.6
14.3;9.5
10.5;7.7
13.9;12.8
14.2;15.1
8.8;9.3
9.8;12.9
8.5;9.7
7.4;12.1
6.8;9.1
7.6;6.8
7.9;8
6.7;7.5
5.8;7.1
7.5;7.7
11.3;12.2
20.7;19.2
26.6;19.9
20.9;14.9
16.9;10.5
15.2;8.9
12.5;6.4
14.2;8
13.3;8.4
12.1;6.3
11.7;5.7
19.5;11.8
12.6;12.4
10.4;14.2
7.9;12
9.7;8.5
10.5;9.8
9;6.8
6.1;7
7.4;13.1
5.6;4.5
5.4;3.4
6.4;8.1
13.2;13.9
26.6;21.5
66.5;28
53.8;29
20.5;16.6
13.1;8.8
11.4;7
11.9;7.8
9.8;6.9
11;8.7
15;12.9
10.5;10.4
13.1;12.2
11.5;14
12.6;19.6
15.8;23.4
12.1;17
12.5;21.7
10.8;20
7.9;12
6.3;9.8
6;8.6
6;7.5
6.3;5.2
10.5;10.3
20.7;19.5
31.1;20.5
44.2;20.9
25.3;16.9
14.3;9.5
14.4;7.8
12.8;7.1
11.9;6.3
11.9;6
12.7;7.2
11.6;7
11.8;8.5
11.4;10.6
10.5;14.8
13;21.4
10.8;16.8
20.3;21.2
9.7;9.8
13.6;16.8
6.1;5.6
5.7;3.5
11.1;10.6
14.2;16.6
13.5;13.9
73.5;20.9
64.9;21.8
73.7;24.3
68.3;26.5
17.1;13.6
14.8;10.1
15.7;12.6
10.5;5
15.1;8.8
12.4;9.5
14.5;11.9
12.4;15.2
12.1;18.1
12.2;19.5
19.6;29.1
8.4;12.7
7.7;9.9
6.7;8.9
6;4.5
7.7;6.5
5.8;1.6
5.8;2.8
5.7;3.5
7;7.1
10.1;13.7
20.4;20
10;11.6
13;11.4
10.4;9.2
11.5;8
11.2;5.8
8.8;3.4
10.7;3.8
8.9;2.9
8.1;2.8
8.5;3.4
8.5;4.6
8.2;7.6
11;12.9
16.1;18
10.9;13.3
12.6;14.7
10.4;12.9
6.7;7.9
9.2;9.3
9.8;9.8
11;10.2
6.9;7
12.6;9.8
16.8;10.9
11.2;5
9.9;4.4
8.8;4.8
8.4;4.3
7.5;1.7
6.9;1.8
7.9;1.8
6.3;1.2
8.2;3.2
7.6;3
6.7;4.4
8.3;10
8.9;7.9
8.3;10.6
11.1;14.1
9.6;12.3
7.7;9.6
11.3;12
7.2;9.9
8.3;12.3
15.6;13.8
27.5;14.9
45.4;17.4
78.8;20.2
69.1;20.5
38.5;22.9
27.7;21
17.3;22.9
6.5;7.9
5.35;4.45
6.6;8.9
4.5;7.8
5.2;12.1
5.2;12.9
5.7;17
5.3;21.6
4.3;19.6
4.1;24.4
2.8;18.1
6.3;22.3
5.6;21.7
5.8;17.8
0.3;5.9
0.5;7
1.4;9.3
1.9;10.5
6.2;18.4
22.8;24.2
46;27.2
29.8;22.7
16.6;18.4
6.3;12.2
3.7;11.2
7.9;20.3
7.8;22.3
6.7;18.8
5.5;19
8.2;21.3
5.9;24.6
6.6;27.6
18.3;37.2
22.8;34.4
28.6;37.5
19;32.3
17.8;27.6
31.2;29.6
20;28.3
23.7;30.1
30.1;30.4
10.9;25
30.1;25
56.5;26.4
58.3;32
62.8;37.6
34.8;37.5
18.5;26.4
7.7;17
3;6.4
2.8;9.2
4.9;18.8
5.3;16.1
5.8;16.2
5.6;23.9
10.1;28.7
6.2;26.6
13.7;37.1
24.8;40.1
37.6;41.2
20.3;40.2
11;33.6
10.5;25.2
9.7;20.9
16.4;27
19;23.4
68.9;27.1
118;32.6
97.2;42.2
28.3;29.3
16.7;29.3
7.5;21.1
4.5;9.9
5.7;14.1
6.8;23.7
9;17.1
5.6;20
6.3;23.7
8.9;28.6
9.5;28.3
9.3;27.8
5.2;21.6
3.7;19.2
7.7;23.7
15.6;29.4
22.1;28.1
12.1;25.4
1.7;22.1
3.8;24
30.1;28.3
45.1;26.7
70.8;30
36.9;27.7
29.3;31
13.9;20.1
9.8;16.3
9;11
6.8;9.4
10.9;11.7
7.6;9.9
8.3;11.4
10.3;11.6
9.6;12.3
9.4;24
14.5;29.2
6;17.9
13.6;21.2
8.4;20.4
16.1;17.5
1.2;7.4
0.7;3.6
3.9;7.4
4.3;7.4
1.8;7.6
4.4;9.5
10.4;11.5
7.6;6.5
7.6;5.3
6.2;4.8
6.2;4.7
5.6;5
6;5
5.2;3.7
4.2;3.1
4.6;4.1
5;4.3
4.4;5
3.5;6
3.8;7.4
2.2;5.2
2.4;6.5
3.1;7.6
1.3;4.7
0.4;2.9
1.5;5
0.4;3.5
0.2;1.8
0.7;2.3
1.2;5.2
11.6;9.5
3.6;3.7
2.1;2
1.1;0.9
0.9;1.1
1.3;1.4
2.2;2.1
2.7;3.2
4.6;4.2
5.5;5.5
3;5.4
2.7;4.9
3;5.7
3.2;9
3.4;10
1.9;8.5
6.1;11.4
1.9;8.1
0.9;4.3
2.4;3.1
1.7;2.7
3;3.7
2.1;5.5
2.6;9.8
8;17
13;19.2
10;13.1
6.4;6.6
9.3;9.4
7.6;7.9
5.8;5.5
10.1;9.7
9.3;9.4
9.3;9
8.5;9.8
12;14.6
8.7;14.4
8.6;17.4
11.3;20.2
15.1;19.3
3.9;11.7
2.3;11.6
6;14.9
2.6;15
4;15.7
3.8;17
11.2;16.7
21.4;14.4
32.8;15.7
31.4;16.6
20.3;12.5
18.5;13.4
19.1;16.9
17.1;15.7
10.2;13
11.8;11.65
13.4;10.3
19.8;13.4
16.3;8.7
15.8;14
17.1;13.2
6.3;8.4
12.4;13.2
18.3;14.2
10.1;12.1
5.3;10.6
11.1;13.6
10.7;15
21.5;15.8
13.1;13.1
52.4;17.4
73.5;20.8
85.7;22.8
62.3;24.3
40.4;28.7
11.6;11.2
8.4;6.1
7.7;4.4
10.8;6.4
13.8;8.8
13.9;8.1
11.5;7.2
11.7;7.2
13.6;10.4
18.5;14.4
8.3;11.3
6.4;9.4
4.1;4.9
3.3;4.9
5.1;7.2
3.5;7.7
1.3;0.4
1.5;0
1.4;1.6
15.7;12.3
20.3;14.7
42;16.7
33.9;19.8
20.1;13.8
9.9;4.6
8;1
7.6;2.8
10.1;3.8
13.1;4.7
7.5;1.2
8.4;1.7
8.6;3.7
9.6;6.1
9.2;9.2
11;12.1
11.1;11.9
5.8;7.7
5.4;7.5
5;6.6
26.65;24.15
15.4;21.2
2.35;15.9
7.75;19.7
4.3;4.1
27.5;14.4
55.4;18.9
23.3;9
9.8;3.7
9;2.4
8.7;2.9
9;3.4
7.9;3.4
11.9;5.7
8.6;3
7.5;3.9
12.5;7.9
12.3;6.9
11.1;8.7
12.9;12.9
5.9;11.4
10.9;14.1
7;11.4
5.5;6.3
7.8;7.7
4.5;2.6
4.3;7.5
7.4;13.5
12.7;15.7
11.1;15.2
16.7;12.4
6.7;5
5.9;2.9
7.1;3.3
5.8;2.2
6;2.5
8.7;4.3
7.2;3.2
6.9;2.9
7.5;3.3
5.7;3.3
7.9;4.9
6.6;8.8
8.5;12.6
12.1;15.7
11.6;13.7
11.2;9.5
2;3.6
2.8;4.4
18.4;16
12;13.2
10.9;12.6
4.3;7.7
8.8;10.4
24.3;12.1
14.7;11
7.2;6
4.5;1.2
5.1;0
5.55;3.9
4.7;3.55
4.1;0.5
3.3;0.2
3.7;1
4.9;1.1
3.7;0.8
2.7;4
2.2;1.5
2.1;0.6
2.1;1
2.1;1.4
2.2;1.1
1.6;1.3
2.7;5.3
1.8;5.2
1.9;5
4.9;10
8.2;8.4
34.4;12.8
20.7;9.3
3.9;0.3
6.4;6.6
9.3;9.4
7.6;7.9
5.8;5.5
10.1;9.7
9.3;9.4
9.3;9
8.5;9.8
12;14.6
3.2;0.9
3.5;1.4
10.7;8.4
6.2;5.9
3.8;5.2
1.6;1.4
1.4;1.6
1.6;3.8
6.3;6.2
3.1;4.2
24.3;7.6
43.1;10.2
41.5;10.9
16.5;6.3
12.6;3.3
9.5;2.2
9.7;1.7
9.2;1.8
9;1.4
7.9;1
8.3;1.6
11.4;4.3
15;5
10.2;3.1
12.2;6.6
7;2.9
4.3;0.5
8.4;6.5
4.3;1.1
3.5;3.1
2.9;1.8
10.7;15
21.5;15.8
3.5;1.3
5.6;1.3
16.8;6.6
25.6;7.7
17.7;5.2
12.4;3.5
11.1;1.7
9.6;0.7
10;0.9
8.4;0
9.2;0.8
10.9;1.7
9.4;1.1
10.1;1.9
10.2;4.2
11.2;6.8
43.6;14.6
58;13.3
48;12.9
79.7;14.8
41.9;11.8
33.4;10.3
15.3;7.9
16.9;8.5
13.8;7.2
16.9;8.5
30.5;12.2
26;11.4
25.3;11.8
39.2;14.3
36.9;14.7
18.4;11.4
23;15.4
13.4;11.7
22;18.9
23.1;19.2
19.6;22.2
22.2;19.2
31.2;25.2
6.9;15.4
8.7;15.8
19.8;19.4
24.3;19.7
25.4;20.7
10.2;18.7
31.2;20.2
18.7;17
3;9.7
11.7;15.4
10.1;14.8
39;13.5
48.1;10
45.3;15.6
21.6;11
16.4;12.2
11.6;8.1
7.7;3
11.8;5
8.4;6.4
11.2;13.8
8.7;10.8
9.3;14.6
16;21.9
13.9;24.8
32.8;18.3
20.2;14.4
21.2;15
19.7;13.4
26.1;13.7
35.2;14.8
41.7;17
19.9;12.1
11.2;10.9
32.1;13
48.5;12.4
63.2;15.2
49.8;17.9
32.5;17.9
40.6;24.1
21.9;23.1
19.1;19.1
25.2;23.3
18.1;15.7
4.8;11.4
4.8;11.4
5.9;21.4
16.6;27.6
26.1;25.5
25.5;17.3
34.4;20.4
27.6;16
19.8;14.9
22.5;14.9
16.8;13.7
15.8;13
9.6;10.5
5;7.5
3.7;7.8
19.4;9.4
30;8.8
26;8.4
21.2;11.9
13.2;11.3
8.7;7.1
9.8;6.4
7.2;5
5.4;7
3.4;4.5
3.2;1.8
3.8;3.5
3.8;6.2
5.4;11.7
5.7;14.8
7.8;15.8
3.8;11.3
6.1;13.5
15.9;18.3
